University Name,Term_1,Term_2,Term_3,Term_4,Term_5,Term_6,Term_7,Term_8,Term_9,Term_10
Karlstad University,use,exam,tool,course,university,student,permitted,support,used,
Mid Sweden University,student,examination,text,tool,use,also,service,question,example,way
Linköping University,examination,student,gpt,chat,text,karin,university,new,knowledge,technology
University of Washington,student,use,tool,platform,course,learning,assignment,may,academic,output
University of Michigan-Ann Arbor,data,maizey,model,prompt,information,gpt,text,project,image,canvas
Uppsala University,student,teacher,course,text,examination,use,teaching,also,tool,need
Stockholm University,chatbots,text,use,examination,university,student,research,used,chatbot,education
York University,student,tool,use,technology,using,assessment,expectation,course,learning,academic
KTH Royal Institute of Technology,student,use,course,learning,tool,material,example,examination,exam,feedback
Karolinska Institutet,student,use,tool,text,assessment,may,chatgpt,examination,service,need
Ludwig-Maximilians-Universität München,student,model,language,use,tool,science,study,text,lmu,data
University of Gothenburg,tool,use,examination,student,university,course,teacher,education,examiner,guidance
Imperial College London,student,question,assessment,use,important,software,would,test,help,example
Rochester Institute of Technology,tool,use,student,work,course,writing,prompt,rit,may,information
University College London,student,use,slide,assessment,learning,tool,guidance,category,example,
Charles Sturt University ,assessment,student,learning,use,university,used,task,human,strategy,artificial
Örebro University ,learning,student,examination,example,need,use,question,data,tool,machine
"Eidgenössische Technische Hochschule
Zürich",student,use,work,tool,used,teaching,learning,content,data,course
Lund University,tool,student,use,education,question,teacher,video,find,chatgpt,
University of Twente,student,chatgpt,assignment,used,use,tool,education,work,text,could
Massachusetts Institute of Technology,student,tool,teaching,data,use,concept,example,privacy,quiz,help
Universidade de São Paulo,chatgpt,student,text,learning,write,course,technology,data,teacher,make
Glasgow Caledonian University,student,use,tool,using,appropriate,work,learning,data,university,provide
Swedish University of Agricultural Sciences,student,text,support,use,also,way,help,material,many,information
The University of Melbourne,student,assessment,task,subject,learning,group,strategy,individual,work,design
University of Cape Town,tool,question,student,prompt,use,chatgpt,data,information,research,output
Linnaeus University,student,information,text,use,tool,examination,need,chatgpt,learning,
Chalmers University of Technology,tool,text,language,model,based,prompt,use,used,work,data
Cairo University,use,research,tool,guideline,student,using,policy,must,academic,regulation
Umeå University,tool,use,must,student,engagement,critical,responsible,teacher,ensure,believe
