name,engage,privacy,access,teaching,learning,rank,Region,Location
GCU,0,0.836,0.5392,0.489375,0.4785,1036,United Kingdom,Europe
UCT,0.722016666666667,0.466866666666667,0.3028,0.176285714285714,0.317009756097561,171,South Africa,Africa
ETH,0.3994,0.6141,0.0129,0.321640909090909,0.3947,7,Switzerland,Europe
CU,0,0,0,0.114966666666667,0.23835,350,Egypt,Africa
IC,0,0,0,0.190633333333333,0.45574,2,United Kingdom,Europe
USP,0,0.496566666666667,0,0.1782,0.312628571428571,92,Brazil,Americas
UniMelb,0.614635714285714,0.7042,-0.17008,0.144555555555556,0.358666666666667,13,Australia,Oceania
Twente,0,0.50376,0,0.5847,0.33085,233,Netherlands,Europe
UW,0.521675,0.16965,0.327433333333333,0.2813625,0.304335714285714,76,United States,Americas
UCL,0.6407,0,0.6486,0.198642857142857,0.288066666666667,9,United Kingdom,Europe
RIT,0.34,0.462133333333333,0.38705,0.253946153846154,0.28213,1080,United States,Americas
UM,3.33333333333297E-05,0.22565,0.242847368421053,0.5859,0.39938,44,United States,Americas
CSU,0.732858333333333,0.31845,0.453557142857143,0.46199,0.3197,855,Australia,Oceania
LMU,0.70055,0,0.8555,0.23965,0.2502,59,Germany,Europe
MIT,0.554316666666667,0.37,0.250844444444444,0.390346153846154,0.367784615384615,1,United States,Americas
YorkU,0.63425,-0.03915,0.5537,0.185475,0.45135625,364,Canada,Americas
THU,0,0,0,0,0,20,China (Mainland),Asia
PKU,0,0,0,0,0,14,China (Mainland),Asia
BUPT,0,0,0,0,0,904,China (Mainland),Asia
PMU,0,0,0,0,0,513,Saudi Arabia,Asia
TU/e,0,0,0,0,0,136,Netherlands,Europe
Taylor,0,0,0,0,0,251,Malaysia,Asia
PTE,0,0,0,0,0,780,Hungary,Europe
UNQ,0,0,0,0,0,1473,Argentina,Americas
BBU,0,0,0,0,0,782,Romania,Europe
